distance,risk,value
0.493080615,heat,0
0.493662509,heat,0
0.494517032,heat,0
0.494925857,heat,0
0.495988712,heat,0
0.496205249,heat,0
0.497444586,heat,0
0.49963111,heat,0
0.499670328,heat,0
0.500442497,heat,0
0.500772108,heat,0
0.503614646,heat,0
0.505775831,heat,0
0.510713562,heat,0
0.519676374,heat,0
0.520772455,heat,0
0.522431298,heat,0
0.524199307,heat,0
0.524886496,heat,0
0.525703275,heat,0
0.529041903,heat,0
0.529700058,heat,0
0.530132081,heat,0
0.530231705,heat,0
0.531483905,heat,0
0.532053194,heat,0
0.532594327,heat,0
0.534105154,heat,0
0.53594868,heat,0
0.539625946,heat,0
0.541625369,heat,0
0.543736119,heat,0
0.545589184,heat,0
0.546229342,heat,0
0.548677494,heat,0
0.549998731,heat,0
0.55075386,heat,0
0.551672018,heat,0
0.552073098,heat,0
0.553511148,heat,0
0.554751197,heat,0
0.559974382,heat,0
0.563897529,heat,0
0.568930713,heat,0
0.569424738,heat,0
0.571619796,heat,0
0.57580786,heat,0
0.581046863,heat,0
0.586290428,heat,0
0.586986454,heat,0
0.587296461,heat,0
0.588736489,heat,0
0.589422102,heat,0
0.589767351,heat,0
0.589908039,heat,0
0.590691754,heat,0
0.591280918,heat,0
0.592071205,heat,0
0.592149313,heat,0
0.592640764,heat,0
0.594191882,heat,0
0.594540367,heat,0
0.59569577,heat,0
0.596651354,heat,0
0.597190866,heat,0
0.597510507,heat,0
0.59761234,heat,0
0.605903003,heat,0
0.610664279,heat,0
0.611260763,heat,0
0.611851102,heat,0
0.612317537,heat,0
0.61280236,heat,0
0.613503961,heat,0
0.615447084,heat,0
0.615973719,heat,0
0.616508536,heat,0
0.616638709,heat,0
0.61697725,heat,0
0.6173433,heat,0
0.617518617,heat,0
0.61911509,heat,0
0.619563024,heat,0
0.620019389,heat,0
0.620952847,heat,0
0.624517441,heat,0
0.627135865,heat,0
0.646732059,heat,0
0.653444781,heat,0
0.660491568,heat,0
0.660938357,heat,0
0.664435707,heat,0
0.664781819,heat,0
0.667855102,heat,0
0.668936814,heat,0
0.670041915,heat,0
0.670925734,heat,0
0.671114544,heat,0
0.671603035,heat,0
0.677301344,heat,0
0.678366428,heat,0
0.678925445,heat,0
0.679923576,heat,0
0.680303684,heat,0
0.685256994,heat,0
0.694254576,heat,0
0.694520058,heat,0
0.696506566,heat,0
0.704193163,heat,0
0.705722056,heat,0
0.706211039,heat,0
0.706797146,heat,0
0.707476325,heat,0
0.707865006,heat,0
0.708309826,heat,0
0.708860815,heat,0
0.709553152,heat,0
0.710248545,heat,0
0.710966834,heat,0
0.711634034,heat,0
0.712085193,heat,0
0.712286353,heat,0
0.712733048,heat,0
0.71297687,heat,0
0.713354622,heat,0
0.713637511,heat,0
0.714391024,heat,0
0.715162283,heat,0
0.715377125,heat,0
0.715980802,heat,0
0.716323469,heat,0
0.716646029,heat,0
0.71709403,heat,0
0.717868467,heat,0
0.718585804,heat,0
0.718758877,heat,0
0.719466513,heat,0
0.720017081,heat,0
0.720377086,heat,0
0.720555157,heat,0
0.720815589,heat,0
0.72112488,heat,0
0.721484587,heat,0
0.721644352,heat,0
0.722016085,heat,0
0.722280724,heat,0
0.722688315,heat,0
0.723009209,heat,0
0.723291913,heat,0
0.723418976,heat,0
0.723945498,heat,0
0.724626369,heat,0
0.724669089,heat,0
0.725283754,heat,0
0.725912869,heat,0
0.726558054,heat,0
0.727181759,heat,0
0.727795985,heat,0
0.727922385,heat,0
0.728606748,heat,0
0.729288529,heat,0
0.73001434,heat,0
0.730674245,heat,0
0.731386003,heat,0
0.731991395,heat,0
0.732641666,heat,0
0.733332087,heat,0
0.734050898,heat,0
0.734901877,heat,0
0.735657661,heat,0
0.738812667,heat,0
0.745626381,heat,0
0.746414536,heat,0
0.746724019,heat,0
0.747282607,heat,0
0.747723779,heat,0
0.748225826,heat,0
0.748636837,heat,0
0.749010609,heat,0
0.749811415,heat,0
0.752036928,heat,0
0.753577772,heat,0
0.753809703,heat,0
0.755312158,heat,0
0.755964124,heat,0
0.756265131,heat,0
0.756551454,heat,0
0.757199161,heat,0
0.76278029,heat,0
0.763650312,heat,0
0.764649027,heat,0
0.766717484,heat,0
0.771004808,heat,0
0.771604663,heat,0
0.774630361,heat,0
0.775337361,heat,0
0.777334148,heat,0
0.77819113,heat,0
0.780907644,heat,0
0.782633328,heat,0
0.782759582,heat,0
0.782976515,heat,0
0.790221134,heat,0
0.799214963,heat,0
0.799915215,heat,0
0.800648854,heat,0
0.801364594,heat,0
0.802004008,heat,0
0.808653131,heat,0
0.812002706,heat,0
0.812505619,heat,0
0.813098181,heat,0
0.813716262,heat,0
0.814348417,heat,0
0.81499342,heat,0
0.815448491,heat,0
0.816092668,heat,0
0.817063227,heat,0
0.817816785,heat,0
0.819183738,heat,0
0.819453147,heat,0
0.821104447,heat,0
0.822027993,heat,0
0.822302548,heat,0
0.823070527,heat,0
0.827601078,heat,0
0.829424841,heat,0
0.830100754,heat,0
0.838784917,heat,0
0.839378612,heat,0
0.844363607,heat,0
0.849165248,heat,0
0.850191755,heat,0
0.850490494,heat,0
0.851430181,heat,0
0.862214266,heat,0
0.862905214,heat,0
0.863617761,heat,0
0.864324218,heat,0
0.864788796,heat,0
0.865408714,heat,0
0.86565878,heat,0
0.867325472,heat,0
0.868513354,heat,0
0.869796803,heat,0
0.871600523,heat,0
0.87242841,heat,0
0.873122672,heat,0
0.874056523,heat,0
0.874861337,heat,0
0.875328918,heat,0
0.875863357,heat,0
0.876544932,heat,0
0.876922442,heat,0
0.877246084,heat,0
0.878093483,heat,0
0.87912111,heat,0
0.879372578,heat,0
0.879661688,heat,0
0.880214865,heat,0
0.881163114,heat,0
0.881848368,heat,0
0.88260205,heat,0
0.884920711,heat,0
0.886426944,heat,0
0.887239447,heat,0
0.887281873,heat,0
0.890705088,heat,0
0.891465504,heat,0
0.892295263,heat,0
0.897663575,heat,0
0.899239743,heat,0
0.903954885,heat,0
0.904940768,heat,0
0.908773281,heat,0
0.9094653,heat,0
0.912916559,heat,0
0.91399884,heat,0
0.917584289,heat,0
0.920507474,heat,0
0.923350046,heat,0
0.924357568,heat,0
0.92457267,heat,0
0.924775737,heat,0
0.927290569,heat,0
0.927824944,heat,0
0.929226775,heat,0
0.930250132,heat,0
0.931038307,heat,0
0.932401996,heat,0
0.932908771,heat,0
0.933332484,heat,0
0.93364923,heat,0
0.934348638,heat,0
0.93513269,heat,0
0.936086256,heat,0
0.941188249,heat,0
0.94850532,heat,0
0.949095849,heat,0
0.949818935,heat,0
0.95053803,heat,0
0.95116024,heat,0
0.951676404,heat,0
0.959724812,heat,0
0.960146813,heat,0
0.960675723,heat,0
0.961987804,heat,0
0.962672635,heat,0
0.963183268,heat,0
0.963619234,heat,0
0.964104234,heat,0
0.96469823,heat,0
0.975551452,heat,0
0.976136206,heat,0
0.976339406,heat,0
0.977070566,heat,0
0.978607882,heat,0
0.978862444,heat,0
0.979469143,heat,0
0.983671622,heat,0
0.987014132,heat,0
0.988463056,heat,0
0.991700416,heat,0
0.991895598,heat,0
0.992437987,heat,0
0.993491671,heat,0
0.99458703,heat,0
0.996240997,heat,0
0.997330562,heat,0
0.998094954,heat,0
0.998580288,heat,0
0.999334159,heat,0
1.000429386,heat,0
1.016940869,heat,0
1.01810983,heat,0
1.018553074,heat,0
1.018987296,heat,0
1.019289106,heat,0
1.019956064,heat,0
1.020537126,heat,0
1.020839181,heat,0
1.022800587,heat,0
1.024387875,heat,0
1.026178237,heat,0
1.027457131,heat,0
1.031154602,heat,0
1.032122207,heat,0
1.03432844,heat,0
1.034634644,heat,0
1.035632871,heat,0
1.036384296,heat,0
1.036764634,heat,0
1.037387789,heat,0
1.037558835,heat,0
1.037887142,heat,0
1.038746735,heat,0
1.040431275,heat,0
1.041604646,heat,0
1.042034154,heat,0
1.043992987,heat,0
1.048454938,heat,0
1.049174925,heat,0
1.049653562,heat,0
1.051323547,heat,0
1.054821851,heat,0
1.055142802,heat,0
1.055618403,heat,0
1.060613485,heat,0
1.061144334,heat,0
1.0621856,heat,0
1.073323472,heat,0
1.073911417,heat,0
1.074204299,heat,0
1.074973557,heat,0
1.075375747,heat,0
1.07623347,heat,0
1.076718042,heat,0
1.077058189,heat,0
1.078234843,heat,0
1.078895636,heat,0
1.079551856,heat,0
1.079724486,heat,0
1.081703985,heat,0
1.08206986,heat,0
1.082848722,heat,0
1.083544826,heat,0
1.083709902,heat,0
1.084711844,heat,0
1.086346309,heat,0
1.088631043,heat,0
1.094779962,heat,0
1.095283144,heat,0
1.095649908,heat,0
1.096576453,heat,0
1.097129736,heat,0
1.097653387,heat,0
1.098131764,heat,0
1.098520414,heat,0
1.099171936,heat,0
1.100641535,heat,0
1.102056943,heat,0
1.103198177,heat,0
1.106668883,heat,0
1.107402413,heat,0
1.107783706,heat,0
1.108625747,heat,0
1.109537651,heat,0
1.110091158,heat,0
1.110544448,heat,0
1.110966967,heat,0
1.111352667,heat,0
1.111693016,heat,0
1.112369906,heat,0
1.115528172,heat,0
1.116577469,heat,0
1.116818621,heat,0
1.117769142,heat,0
1.118407704,heat,0
1.121715161,heat,0
1.122415099,heat,0
1.122963435,heat,0
1.123359244,heat,0
1.124385345,heat,0
1.127532497,heat,0
1.127933177,heat,0
1.12892473,heat,0
1.129788566,heat,0
1.131061363,heat,0
1.131710278,heat,0
1.132072805,heat,0
1.132978832,heat,0
1.13777825,heat,0
1.140104647,heat,0
1.141062422,heat,0
1.142001549,heat,0
1.144755364,heat,0
1.145355372,heat,0
1.145570966,heat,0
1.145957837,heat,0
1.147980664,heat,0
1.148475311,heat,0
1.149022862,heat,0
1.149526764,heat,0
1.150010851,heat,0
1.150541761,heat,0
1.151270872,heat,0
1.152088716,heat,0
1.158275397,heat,0
1.15884166,heat,0
1.159309369,heat,0
1.159871081,heat,0
1.160278033,heat,0
1.160935222,heat,0
1.161935376,heat,0
1.162397157,heat,0
1.16298412,heat,0
1.163624786,heat,0
1.164348485,heat,0
1.165221797,heat,0
1.167367306,heat,0
1.168242897,heat,0
1.168988005,heat,0
1.169877268,heat,0
1.170288435,heat,0
1.170682223,heat,0
1.171129688,heat,0
1.184146586,heat,0
1.18627136,heat,0
1.188400532,heat,0
1.1900073,heat,0
1.190820113,heat,0
1.191837536,heat,0
1.19201585,heat,0
1.192342546,heat,0
1.192896374,heat,0
1.19339545,heat,0
1.19392163,heat,0
1.19430987,heat,0
1.194846139,heat,0
1.195653359,heat,0
1.198305817,heat,0
1.198512123,heat,0
1.199450115,heat,0
1.214360064,heat,0
1.222137344,heat,0
1.222755694,heat,0
1.223328572,heat,0
1.224023382,heat,0
1.224895712,heat,0
1.225690848,heat,0
1.228542472,heat,0
1.229245626,heat,0
1.23005898,heat,0
1.230857935,heat,0
1.234122909,heat,0
1.234260959,heat,0
1.234691221,heat,0
1.236871939,heat,0
1.237534627,heat,0
1.23813815,heat,0
1.238672649,heat,0
1.239291429,heat,0
1.240634282,heat,0
1.241369208,heat,0
1.242149401,heat,0
1.242536389,heat,0
1.243062775,heat,0
1.247048532,heat,0
1.247608162,heat,0
1.248642876,heat,0
1.248944977,heat,0
1.250088876,heat,0
1.25199512,heat,0
1.252854364,heat,0
1.25762863,heat,0
1.271356484,heat,0
1.273502662,heat,0
1.27440486,heat,0
1.275115492,heat,0
1.275638349,heat,0
1.277314109,heat,0
1.27856341,heat,0
1.278771211,heat,0
1.280840655,heat,0
1.281636968,heat,0
1.282465534,heat,0
1.28308195,heat,0
1.28313761,heat,0
1.283643998,heat,0
1.284362097,heat,0
1.285253857,heat,0
1.295468664,heat,0
1.301395339,heat,0
1.302123143,heat,0
1.302789631,heat,0
1.30333736,heat,0
1.303865529,heat,0
1.304435849,heat,0
1.309488578,heat,0
1.31119785,heat,0
1.311839161,heat,0
1.315336356,heat,0
1.321200852,heat,0
1.32138592,heat,0
1.322375718,heat,0
1.324020823,heat,0
1.325045316,heat,0
1.32572007,heat,0
1.330347004,heat,0
1.330964795,heat,0
1.33160381,heat,0
1.33370723,heat,0
1.334734031,heat,0
1.335488942,heat,0
1.336153596,heat,0
1.336679366,heat,0
1.337530135,heat,0
1.337661836,heat,0
1.338878568,heat,0
1.341570996,heat,0
1.341766927,heat,0
1.342153405,heat,0
1.342805154,heat,0
1.343628537,heat,0
1.344236172,heat,0
1.346299945,heat,0
1.347179848,heat,0
1.349079372,heat,0
1.351020726,heat,0
1.351753821,heat,0
1.352340681,heat,0
1.352826556,heat,0
1.353479798,heat,0
1.354708362,heat,0
1.360411896,heat,0
1.363035191,heat,0
1.365467443,heat,0
1.366162434,heat,0
1.366798073,heat,0
1.367457455,heat,0
1.369284122,heat,0
1.375525377,heat,0
1.376549187,heat,0
1.378216131,heat,0
1.378657611,heat,0
1.379266992,heat,0
1.37996517,heat,0
1.380550622,heat,0
1.38622872,heat,0
1.388400869,heat,0
1.396055763,heat,0
1.397439654,heat,0
1.398262802,heat,0
1.39884776,heat,0
1.399357639,heat,0
1.399863542,heat,0
1.400380928,heat,0
1.400844533,heat,0
1.401331129,heat,0
1.402338544,heat,0
1.402628,heat,0
1.403928029,heat,0
1.406941225,heat,0
1.407416159,heat,0
1.408001117,heat,0
1.40872092,heat,0
1.410476353,heat,0
1.410722915,heat,0
1.411041394,heat,0
1.412724475,heat,0
1.413681748,heat,0
1.413938826,heat,0
1.414462755,heat,0
1.416315357,heat,0
1.417164607,heat,0
1.417970099,heat,0
1.418529263,heat,0
1.419031451,heat,0
1.419662455,heat,0
1.420321292,heat,0
1.423214752,heat,0
1.423849007,heat,0
